linguagem,cenario,rotulo,lado,n_celulas,rodadas,tempo_medio_ms,desvio_padrao_ms,nos_expandidos_media,custo_medio
javascript,medio,pequena,51,2601,30,0.488053,0.168427,251.2,100.2
javascript,medio,intermediaria,101,10201,30,0.884557,0.845227,1051.4,200.4
javascript,medio,media,151,22801,30,1.499403,1.942771,1768.2,300.2
javascript,medio,intermediaria,201,40401,30,2.410433,0.936418,2621.4,400.1
javascript,medio,intermediaria,251,63001,30,4.413457,4.233068,4041.2,500.2
javascript,medio,grande,301,90601,30,9.693487,6.447800,6756.3,600.7
javascript,melhor,pequena,51,2601,30,0.260623,0.204657,51.0,50.0
javascript,melhor,intermediaria,101,10201,30,0.284280,0.091895,101.0,100.0
javascript,melhor,media,151,22801,30,0.378860,0.115472,151.0,150.0
javascript,melhor,intermediaria,201,40401,30,0.263907,0.133816,201.0,200.0
javascript,melhor,intermediaria,251,63001,30,0.285493,0.085699,251.0,250.0
javascript,melhor,grande,301,90601,30,0.337837,0.067440,301.0,300.0
javascript,pior,pequena,51,2601,30,0.351013,0.105325,1301.0,1300.0
javascript,pior,intermediaria,101,10201,30,1.782447,0.354428,5201.0,5200.0
javascript,pior,media,151,22801,30,4.292040,0.542975,11401.0,11400.0
javascript,pior,intermediaria,201,40401,30,8.741303,2.029909,20401.0,20400.0
javascript,pior,intermediaria,251,63001,30,12.450527,1.673396,31501.0,31500.0
javascript,pior,grande,301,90601,30,20.873567,3.671898,45601.0,45600.0
python,medio,pequena,51,2601,30,0.669080,0.203158,251.2,100.2
python,medio,intermediaria,101,10201,30,2.963867,3.208489,1051.4,200.4
python,medio,media,151,22801,30,5.382813,5.982209,1768.2,300.2
python,medio,intermediaria,201,40401,30,8.076683,2.835013,2621.4,400.1
python,medio,intermediaria,251,63001,30,12.723567,10.923690,4041.2,500.2
python,medio,grande,301,90601,30,22.101350,19.169390,6756.3,600.7
python,melhor,pequena,51,2601,30,0.165530,0.004351,51.0,50.0
python,melhor,intermediaria,101,10201,30,0.348847,0.015118,101.0,100.0
python,melhor,media,151,22801,30,0.703650,0.211871,151.0,150.0
python,melhor,intermediaria,201,40401,30,0.712227,0.011954,201.0,200.0
python,melhor,intermediaria,251,63001,30,0.924047,0.071353,251.0,250.0
python,melhor,grande,301,90601,30,1.148823,0.051373,301.0,300.0
python,pior,pequena,51,2601,30,2.234747,0.181020,1301.0,1300.0
python,pior,intermediaria,101,10201,30,9.645657,0.352096,5201.0,5200.0
python,pior,media,151,22801,30,21.556333,0.618049,11401.0,11400.0
python,pior,intermediaria,201,40401,30,40.203787,1.211027,20401.0,20400.0
python,pior,intermediaria,251,63001,30,63.424777,1.814456,31501.0,31500.0
python,pior,grande,301,90601,30,94.109473,2.263364,45601.0,45600.0
